stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
55052,900262,NORTHLAKE PKWY @ NORTHLAKE CENTER DR,0 NORTHLAKE PKY & NORTHLAKE CENTER DR,33.850761,-84.244546,,,,,,0
55054,900263,NORTHLAKE PKWY @ PARKLAKE DR,0 NORTHLAKE PKY NE & PARKLAKE DR NE,33.851454,-84.249476,,,,,,0
55056,900287,NORTHLAKE PKWY @ 3350,3350 NORTHLAKE PKY NE,33.8515,-84.251424,,,,,,0
55058,900288,NORTHLAKE PKWY @ NORTHLAKE CT,0 NORTHLAKE PKY NE & NORTHLAKE CT NE,33.852172,-84.253775,,,,,,0
55060,900289,NORTHLAKE PKWY @ HENDERSON MILL RD,0 NORTHLAKE & HENDERSON MILL,33.85249,-84.25698,,,,,,0
55064,900290,FLOWERS RD S @ UNIVERSITY CIR,,33.870622,-84.260606,,,,,,0
55066,900264,FLOWERS RD S @ UNIVERSITY CIR,,33.870265,-84.263448,,,,,,0
55070,900265,FLOWERS RD S@HOLLINSWOOD DR,0 FLOWERS & HOLLINSWOOD,33.87027,-84.266113,,,,,,0
55072,900266,FLOWERS RD S @ 2971,,33.870708,-84.266243,,,,,,0
55074,900267,FLOWERS RD S@HOLLINSWOOD DR,0 FLOWERS & HOLLINSWOOD,33.871146,-84.26765,,,,,,0
55082,900292,LAVISTA RD @ PARKLAKE DR,0 LAVISTA RD & PARKLAKE DR,33.846442,-84.24972,,,,,,0
55084,900293,NORTHLAKE PKY @ 2180,,33.848369,-84.244734,,,,,,0
55086,900294,NORTHLAKE PKY @ 2200,,33.849634,-84.244656,,,,,,0
55090,900269,NORTHLAKE PKWY @ PARKLAKE DR,0 NORTHLAKE PKY NE & PARKLAKE DR NE,33.85131,-84.249269,,,,,,0
55092,900270,NORTHLAKE PKWY @ 3330,3330 NORTHLAKE PKY NE,33.851419,-84.251871,,,,,,0
55114,900273,LAVISTA RD @ HENDERSON MILL RD NE,0 LAVISTA RD & HENDERSON MILL RD NE,33.845953,-84.254858,,,,,,0
55116,900274,LAVISTA RD @ MONTREAL RD,0 LAVISTA RD & MONTREAL RD,33.844585,-84.256862,,,,,,0
55118,900275,LAVISTA RD @ 3888,,33.843413,-84.258441,,,,,,0
55120,900499,LAVISTA RD @ MONTREAL RD,0 LAVISTA RD & MONTREAL RD,33.844066,-84.257428,,,,,,0
55124,900500,HENDERSON MILL RD NE @ LAVISTA RD,,33.846222,-84.255467,,,,,,0
55138,900501,NORTHLAKE PKWY @ NORTHLAKE CT NE,0 NORTHLAKE PKY NE & NORTHLAKE CT NE,33.852226,-84.254156,,,,,,0
55140,900502,NORTHLAKE PKWY @ HENDERSON MILL RD,0 NORTHLAKE PKY NE & HENDERSON MILL RD NE,33.852291,-84.257454,,,,,,0
55142,900276,HENDERSON MILL RD @ NORTHLAKE PKWY,0 HENDERSON MILL RD NE & NORTHLAKE PKWY,33.852184,-84.258912,,,,,,0
55144,900277,FIELDING DR NE @ HENDERSON MILL RD,0 FIELDING DR NE & HENDERSON MILL RD NE,33.850797,-84.258631,,,,,,0
